Typ;Typ2;SHORT_NAME_TX;DESC_G_TX;NAME_G_TX;Art;TIME_GRANULARITY_TX;DECIMALS_NU;VALUE_RANGE_TX;DATA_TYPE_TX;SHORT_SIGN_TX;PARAMETER_ID
smn;;tre005dx;"Lufttemperatur 5 cm über Gras; Tagesmaximum";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;219
smn;;tre005h0;"Lufttemperatur 5 cm über Gras; Stundenmittel";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;264
smn;;tre005hn;"Lufttemperatur 5 cm über Gras; Stundenminimum";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;265
smn;;tre005m0;"Lufttemperatur 5 cm über Gras; Monatsmittel";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;341
smn;;tre005mn;"Lufttemperatur 5 cm über Gras; absolutes Monatsminimum";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;343
smn;;tre005mx;"Lufttemperatur 5 cm über Gras; absolutes Monatsmaximum";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;345
smn;;tre005s0;"Lufttemperatur 5 cm über Gras; Momentanwert";Temperatur;originalwert;T;1;-99.9..99.9;Float;°C;92
smn;;tre005y0;"Lufttemperatur 5 cm über Gras; Jahresmittel";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;462
smn;;tre005yn;"Lufttemperatur 5 cm über Gras; absolutes Jahresminimum";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;466
smn;;tre005yx;"Lufttemperatur 5 cm über Gras; absolutes Jahresmaximum";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;464
smn;;tre200d0;"Lufttemperatur 2 m über Boden; Tagesmittel";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;211
smn;;tre200dn;"Lufttemperatur 2 m über Boden; Tagesminimum";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;213
smn;;tre200dx;"Lufttemperatur 2 m über Boden; Tagesmaximum";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;212
smn;;tre200h0;"Lufttemperatur 2 m über Boden; Stundenmittel";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;261
smn;;tre200hn;"Lufttemperatur 2 m über Boden; Stundenminimum";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;262
smn;;tre200hx;"Lufttemperatur 2 m über Boden; Stundenmaximum";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;263
smn;;tre200m0;"Lufttemperatur 2 m über Boden; Monatsmittel";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;297
smn;;tre200mn;"Lufttemperatur 2 m über Boden; absolutes Monatsminimum";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;299
smn;;tre200mx;"Lufttemperatur 2 m über Boden; absolutes Monatsmaximum";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;298
smn;;tre200s0;"Lufttemperatur 2 m über Boden; Momentanwert";Temperatur;originalwert;T;1;-99.9..99.9;Float;°C;91
smn;;tre200y0;"Lufttemperatur 2 m über Boden; Jahresmittel";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;452
smn;;tre200yn;"Lufttemperatur 2 m über Boden; absolutes Jahresminimum";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;456
smn;;tre200yx;"Lufttemperatur 2 m über Boden; absolutes Jahresmaximum";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;454
smn;;ure200d0;"Relative Luftfeuchtigkeit 2 m über Boden; Tagesmittel";Feuchte;aggregat;D;1;0..999.9;Float;%;225
smn;;ure200h0;"Relative Luftfeuchtigkeit 2 m über Boden; Stundenmittel";Feuchte;aggregat;H;1;0..999.9;Float;%;266
smn;;ure200m0;"Relative Luftfeuchtigkeit 2 m über Boden; Monatsmittel";Feuchte;aggregat;M;1;0..999.9;Float;%;365
smn;;ure200s0;"Relative Luftfeuchtigkeit 2 m über Boden; Momentanwert";Feuchte;originalwert;T;1;0..999.9;Float;%;98
smn;;ure200y0;"Relative Luftfeuchtigkeit 2 m über Boden; Jahresmittel";Feuchte;aggregat;Y;1;0..999.9;Float;%;483
