station;termin;nat_abbr;rre150m0
536;19570201000000;AIR;160.6
536;19570301000000;AIR;97.0
536;19570401000000;AIR;30.9
536;19570501000000;AIR;96.8
536;19570601000000;AIR;335.3
536;19570701000000;AIR;100.4
536;19570801000000;AIR;234.4
536;19570901000000;AIR;32.5
536;19571001000000;AIR;36.8
536;19571101000000;AIR;231.7
536;19571201000000;AIR;161.4
536;19580101000000;AIR;78.3
536;19580201000000;AIR;165.4
536;19580301000000;AIR;62.2
536;19580401000000;AIR;127.3
536;19580501000000;AIR;334.4
536;19580601000000;AIR;125.0
536;19580701000000;AIR;202.7
536;19580801000000;AIR;367.7
536;19580901000000;AIR;122.5
536;19581001000000;AIR;227.5
536;19581101000000;AIR;87.9
536;19581201000000;AIR;188.7
536;19590101000000;AIR;96.3
536;19590201000000;AIR;10.5
536;19590301000000;AIR;137.5
536;19590401000000;AIR;156.5
536;19590501000000;AIR;22.2
536;19590601000000;AIR;56.8
536;19590701000000;AIR;81.9
536;19590801000000;AIR;76.2
536;19590901000000;AIR;29.4
536;19591001000000;AIR;185.8
536;19591101000000;AIR;244.8
536;19591201000000;AIR;167.4
536;19600101000000;AIR;123.2
536;19600201000000;AIR;64.5
536;19600301000000;AIR;89.8
536;19600401000000;AIR;41.2
536;19600501000000;AIR;229.6
536;19600601000000;AIR;142.6
536;19600701000000;AIR;199.2
536;19600801000000;AIR;201.6
536;19600901000000;AIR;278.1
536;19601001000000;AIR;452.9
536;19601101000000;AIR;140.4
536;19601201000000;AIR;173.8
536;19610101000000;AIR;46.4
536;19610201000000;AIR;138.0
536;19610301000000;AIR;8.8
536;19610401000000;AIR;146.7
536;19610501000000;AIR;96.1
536;19610601000000;AIR;130.5
536;19610701000000;AIR;88.5
536;19610801000000;AIR;157.4
536;19610901000000;AIR;38.1
536;19611001000000;AIR;228.8
536;19611101000000;AIR;151.4
536;19611201000000;AIR;96.2
536;19620101000000;AIR;81.8
536;19620201000000;AIR;72.7
536;19620301000000;AIR;61.0
536;19620401000000;AIR;144.7
536;19620501000000;AIR;144.4
536;19620601000000;AIR;39.7
536;19620701000000;AIR;22.4
536;19620801000000;AIR;111.5
536;19620901000000;AIR;63.1
536;19621001000000;AIR;17.9
536;19621101000000;AIR;170.4
536;19621201000000;AIR;121.5
536;19630101000000;AIR;52.5
536;19630201000000;AIR;18.6
536;19630301000000;AIR;77.3
536;19630401000000;AIR;152.1
536;19630501000000;AIR;94.1
536;19630601000000;AIR;235.6
536;19630701000000;AIR;87.4
536;19630801000000;AIR;181.9
536;19630901000000;AIR;190.6
536;19631001000000;AIR;129.0
536;19631101000000;AIR;448.0
536;19631201000000;AIR;20.6
536;19640101000000;AIR;57.7
536;19640201000000;AIR;43.7
536;19640301000000;AIR;88.6
536;19640401000000;AIR;216.4
536;19640501000000;AIR;53.6
536;19640601000000;AIR;177.1
536;19640701000000;AIR;40.0
536;19640801000000;AIR;94.3
536;19640901000000;AIR;46.5
536;19641001000000;AIR;144.9
536;19641101000000;AIR;129.0
536;19641201000000;AIR;62.1
536;19650101000000;AIR;64.5
536;19650201000000;AIR;5.4
536;19650301000000;AIR;77.3
536;19650401000000;AIR;26.2
536;19650501000000;AIR;174.3
536;19650601000000;AIR;118.7
536;19650701000000;AIR;139.4
536;19650801000000;AIR;224.3
536;19650901000000;AIR;511.9
536;19651001000000;AIR;45.6
536;19651101000000;AIR;101.9
536;19651201000000;AIR;122.4
536;19660101000000;AIR;30.9
536;19660201000000;AIR;169.0
536;19660301000000;AIR;21.2
536;19660401000000;AIR;147.1
536;19660501000000;AIR;122.8
536;19660601000000;AIR;81.3
536;19660701000000;AIR;123.7
536;19660801000000;AIR;148.2
536;19660901000000;AIR;34.7
536;19661001000000;AIR;365.9
536;19661101000000;AIR;243.8
536;19661201000000;AIR;76.5
536;19670101000000;AIR;13.6
536;19670201000000;AIR;95.6
536;19670301000000;AIR;183.3
536;19670401000000;AIR;103.5
536;19670501000000;AIR;275.8
536;19670601000000;AIR;89.4
536;19670701000000;AIR;65.8
536;19670801000000;AIR;108.3
536;19670901000000;AIR;207.5
536;19671001000000;AIR;97.1
536;19671101000000;AIR;177.9
536;19671201000000;AIR;15.4
536;19680101000000;AIR;133.4
536;19680201000000;AIR;166.1
536;19680301000000;AIR;64.5
536;19680401000000;AIR;189.8
536;19680501000000;AIR;275.7
536;19680601000000;AIR;64.2
536;19680701000000;AIR;112.2
536;19680801000000;AIR;166.6
536;19680901000000;AIR;250.7
536;19681001000000;AIR;68.3
536;19681101000000;AIR;379.4
536;19681201000000;AIR;75.7
536;19690101000000;AIR;65.2
536;19690201000000;AIR;63.4
536;19690301000000;AIR;37.2
536;19690401000000;AIR;54.4
536;19690501000000;AIR;336.5
536;19690601000000;AIR;214.4
536;19690701000000;AIR;53.1
536;19690801000000;AIR;87.0
536;19690901000000;AIR;89.9
536;19691001000000;AIR;0.3
536;19691101000000;AIR;190.1
536;19691201000000;AIR;46.9
536;19700101000000;AIR;117.7
536;19700201000000;AIR;206.1
536;19700301000000;AIR;83.7
536;19700401000000;AIR;180.6
536;19700501000000;AIR;78.2
536;19700601000000;AIR;125.6
536;19700701000000;AIR;60.8
536;19700801000000;AIR;123.2
536;19700901000000;AIR;99.1
536;19701001000000;AIR;234.8
536;19701101000000;AIR;163.9
536;19701201000000;AIR;68.8
536;19710101000000;AIR;95.7
536;19710201000000;AIR;19.3
536;19710301000000;AIR;157.2
536;19710401000000;AIR;138.9
536;19710501000000;AIR;190.6
536;19710601000000;AIR;184.3
536;19710701000000;AIR;61.0
536;19710801000000;AIR;120.5
536;19710901000000;AIR;23.0
536;19711001000000;AIR;13.2
536;19711101000000;AIR;246.3
536;19711201000000;AIR;71.4
536;19720101000000;AIR;57.8
536;19720201000000;AIR;157.7
536;19720301000000;AIR;146.7
536;19720401000000;AIR;144.2
536;19720501000000;AIR;95.2
536;19720601000000;AIR;262.1
536;19720701000000;AIR;96.7
536;19720801000000;AIR;69.7
536;19720901000000;AIR;127.7
536;19721001000000;AIR;86.3
536;19721101000000;AIR;133.2
