station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230502021000;BAS;197;1.6;1.9;5.8;6.8;1.6;0;322;1020.1;1019.7;;;981.9;10.8;0.0;0;8.1;6.7;9.1;93.4;
75;20230502022000;BAS;202;1.5;2.0;5.4;7.2;1.5;0;315;1020.3;1019.8;;;982.0;10.3;0.0;0;7.4;6.1;8.6;92.3;
75;20230502023000;BAS;200;1.7;2.3;6.1;8.3;1.7;0;309;1020.3;1019.8;;;982.0;10.2;0.0;0;7.3;5.6;8.3;93.1;
75;20230502024000;BAS;219;1.5;1.8;5.4;6.5;1.5;0;311;1020.4;1019.9;;;982.1;10.5;0.0;0;7.7;5.8;8.7;93.5;
75;20230502025000;BAS;221;1.8;2.2;6.5;7.9;1.8;0;319;1020.4;1019.9;;;982.1;10.5;0.0;0;7.7;6.9;8.4;95.3;
75;20230502030000;BAS;215;1.9;2.5;6.8;9.0;1.9;0;308;1020.5;1020.0;;;982.2;10.3;0.0;0;7.4;6.8;8.7;91.4;
75;20230502031000;BAS;221;1.5;2.0;5.4;7.2;1.5;0;299;1020.6;1020.1;;;982.3;10.3;0.0;0;7.4;6.3;8.6;92.3;
75;20230502032000;BAS;208;2.0;2.3;7.2;8.3;2.0;0;297;1020.6;1020.1;;;982.3;10.3;0.0;0;7.4;5.9;8.4;93.2;
75;20230502033000;BAS;209;1.9;2.3;6.8;8.3;1.8;0;296;1020.6;1020.1;;;982.3;10.2;0.0;0;7.2;5.7;8.4;92.2;
75;20230502034000;BAS;214;1.9;2.4;6.8;8.6;1.9;0;295;1020.8;1020.2;;;982.4;10.1;0.0;0;7.2;5.4;8.0;94.5;
75;20230502035000;BAS;209;1.3;2.1;4.7;7.6;1.2;0;294;1020.8;1020.3;;;982.5;10.6;0.0;0;7.8;5.2;8.7;94.0;
75;20230502040000;BAS;211;1.4;1.9;5.0;6.8;1.4;0;297;1020.9;1020.3;;;982.5;10.3;0.0;0;7.4;4.9;8.1;95.6;
75;20230502041000;BAS;223;1.8;2.1;6.5;7.6;1.8;1;295;1020.9;1020.4;;;982.6;10.5;0.0;0;7.6;5.9;8.4;94.9;
75;20230502042000;BAS;226;1.3;1.7;4.7;6.1;1.2;4;295;1021.1;1020.5;;;982.7;10.4;0.0;0;7.5;5.9;8.0;96.9;
75;20230502043000;BAS;220;0.9;1.3;3.2;4.7;0.9;8;302;1021.3;1020.7;;;982.9;10.4;0.0;0;7.5;4.8;8.3;94.8;
75;20230502044000;BAS;245;0.9;1.2;3.2;4.3;0.9;16;316;1021.5;1020.9;;;983.1;10.5;0.0;0;7.7;5.3;8.3;95.7;
75;20230502045000;BAS;248;1.1;1.4;4.0;5.0;1.1;25;329;1021.7;1021.2;;;983.4;10.6;0.0;0;7.9;6.6;8.7;94.5;
75;20230502050000;BAS;209;1.1;1.4;4.0;5.0;1.1;36;317;1021.8;1021.3;;;983.5;10.5;0.0;0;7.8;7.6;8.5;95.1;
75;20230502051000;BAS;203;1.1;1.5;4.0;5.4;1.1;57;305;1021.9;1021.4;;;983.6;10.5;0.0;0;7.7;7.7;8.7;93.6;
75;20230502052000;BAS;220;1.7;2.2;6.1;7.9;1.7;88;294;1022.0;1021.5;;;983.7;10.5;0.0;5;7.7;8.2;8.8;92.7;
