station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20200910000000;UEB;2.6;25.6;42.5;247;720;16.8;14.6;18.6;58.9
392;20200911000000;UEB;0.9;10.8;28.8;243;716;16.6;14.2;18.9;72.5
392;20200912000000;UEB;0.3;5.0;16.2;201;557;18.2;15.4;20.4;69.8
392;20200913000000;UEB;1.4;22.3;40.7;243;717;19.1;17.2;20.8;64.4
392;20200914000000;UEB;-0.5;7.2;29.2;238;720;20.5;17.5;23.1;67.1
392;20200915000000;UEB;-0.9;10.1;34.6;235;695;21.0;18.2;23.7;60.4
392;20200916000000;UEB;0.7;9.0;26.3;175;337;20.8;19.2;22.2;52.2
392;20200917000000;UEB;3.9;32.4;66.2;224;690;17.2;14.2;19.7;74.6
392;20200918000000;UEB;2.2;19.8;39.6;171;386;14.7;13.0;16.7;93.7
392;20200919000000;UEB;-0.5;16.2;34.6;150;275;16.0;12.1;19.0;83.3
392;20200920000000;UEB;0.3;8.3;32.0;193;513;16.3;13.0;19.0;77.5
392;20200921000000;UEB;-1.5;14.0;28.8;213;553;15.7;13.1;18.7;78.2
392;20200922000000;UEB;-2.6;18.7;49.3;128;117;15.1;11.3;17.4;82.5
392;20200923000000;UEB;-4.2;25.6;47.2;89;45;13.4;11.8;15.5;86.2
392;20200924000000;UEB;-3.8;27.7;75.2;110;62;12.6;10.0;15.9;86.4
392;20200925000000;UEB;-4.7;40.0;83.9;29;0;5.0;3.0;10.5;91.4
392;20200926000000;UEB;-7.5;52.2;91.4;40;1;3.1;2.2;4.3;89.3
392;20200927000000;UEB;-4.2;31.0;68.8;116;174;4.5;2.7;6.3;80.2
392;20200928000000;UEB;-3.3;21.6;67.7;195;460;6.2;3.8;8.9;84.1
392;20200929000000;UEB;-4.0;25.9;68.8;41;0;7.6;6.1;8.9;92.0
392;20200930000000;UEB;-0.3;8.3;25.9;184;558;9.6;7.7;11.4;86.2
392;20201001000000;UEB;-3.4;23.4;76.3;129;193;10.3;8.3;12.7;83.6
392;20201002000000;UEB;-2.6;36.0;107.3;57;17;13.1;8.2;18.1;63.6
392;20201003000000;UEB;-3.5;28.1;73.8;117;327;6.8;2.4;13.5;83.8
392;20201004000000;UEB;-4.0;29.5;73.4;164;336;8.0;5.5;10.8;73.4
